ID_Prot;Organism
Q9V3T9;Drosophila
P92192;Drosophila
Q04448;Drosophila
Q9W568;Drosophila
P04197;Drosophila
Q9VPM5;Drosophila
Q960T2;Drosophila
P20153;Drosophila
Q9VD44;Drosophila
P04359;Drosophila
P04357;Drosophila
Q9I7X6;Drosophila
Q9W4P5;Drosophila
P55830;Drosophila
Q8IRL8;Drosophila
P24492;Drosophila
P53997;Drosophila
P17671;Drosophila
Q9V7D2;Drosophila
P35381;Drosophila
P35832;Drosophila
P49846;Drosophila
Q24488;Drosophila
P12428;Drosophila
P83088;Drosophila
Q8IMN5;Drosophila
Q8IMN6;Drosophila
Q9V3J4;Drosophila
P27780;Drosophila
P27781;Drosophila
Q9V769;Drosophila
Q9VSC1;Drosophila
Q9VSS2;Drosophila
Q7KUD5;Drosophila
P09052;Drosophila
Q9VNM1;Drosophila
O17468;Drosophila
Q86B61;Drosophila
Q8MKN0;Drosophila
A1Z9P3;Drosophila
P24785;Drosophila
Q9VN03;Drosophila
O61613;Drosophila
A8DYP0;Drosophila
P42570;Drosophila
Q8SYK5;Drosophila
Q9V492;Drosophila
P27091;Drosophila
P42207;Drosophila
M9PD06;Drosophila
Q9VLV5;Drosophila
Q9W266;Drosophila
A1Z713;Drosophila
Q9VM46;Drosophila
Q7K2B0;Drosophila
P26270;Drosophila
Q8T0B1;Drosophila
Q7KR04;Drosophila
P11929;Drosophila
Q9V3F3;Drosophila
C0HK99;Drosophila
C0HK98;Drosophila
C0HK92;Drosophila
Q9XYU0;Drosophila
Q9XYU1;Drosophila
Q9VH48;Drosophila
P08181;Drosophila
Q9VK71;Drosophila
Q05825;Drosophila
O61365;Drosophila
P58985;Drosophila
P92177;Drosophila
Q9VVV2;Drosophila
P35415;Drosophila
Q9VVV9;Drosophila
Q9W058;Drosophila
P15425;Drosophila
Q9W2M2;Drosophila
Q9VMQ5;Drosophila
Q7JUX9;Drosophila
P02825;Drosophila
Q7KS38;Drosophila
Q9VQE9;Drosophila
Q9VC49;Drosophila
Q9VEJ2;Drosophila
Q9VJF2;Drosophila
A8DYY6;Drosophila
Q9VW09;Drosophila
Q9XTM1;Drosophila
O61443;Drosophila
Q9W5A5;Drosophila
Q95YI5;Drosophila
Q27869;Drosophila
P14956;Drosophila
Q9W4L1;Drosophila
Q7JVL3;Drosophila
Q9VGJ5;Drosophila
Q7M3M8;Drosophila
O46089;Drosophila
O62621;Drosophila
Q9VAC5;Drosophila
P05205;Drosophila
Q9VCD0;Drosophila
P40139;Drosophila
Q9W2S3;Drosophila
Q9VU27;Drosophila
Q9VZM7;Drosophila
Q9VZM5;Drosophila
Q24106;Drosophila
P54195;Drosophila
P54194;Drosophila
Q6NP60;Drosophila
P54191;Drosophila
Q9W376;Drosophila
Q9VEX5;Drosophila
Q9XZS8;Drosophila
Q7K237;Drosophila
Q9V6L0;Drosophila
P53403;Drosophila
P54359;Drosophila
P54358;Drosophila
P54357;Drosophila
P54356;Drosophila
Q9VPS5;Drosophila
P54353;Drosophila
P54352;Drosophila
Q8I0G5;Drosophila
P23572;Drosophila
Q9VUX2;Drosophila
Q95NH6;Drosophila
P14734;Drosophila
Q0KHQ5;Drosophila
Q8IQG1;Drosophila
Q9VT51;Drosophila
P40689;Drosophila
Q9VT53;Drosophila
Q9VT52;Drosophila
Q8MSV2;Drosophila
P81829;Drosophila
P19889;Drosophila
P82804;Drosophila
Q8IH00;Drosophila
Q9VLR5;Drosophila
P83294;Drosophila
P28466;Drosophila
Q868T3;Drosophila
Q7KM13;Drosophila
Q95TJ9;Drosophila
Q9VAP3;Drosophila
Q9VAP2;Drosophila
O96553;Drosophila
P10552;Drosophila
Q9VTP4;Drosophila
O61267;Drosophila
O97148;Drosophila
P11146;Drosophila
Q9VVD9;Drosophila
O97143;Drosophila
Q9VFN2;Drosophila
A1Z8E9;Drosophila
P13496;Drosophila
P81913;Drosophila
P81912;Drosophila
O96433;Drosophila
P07668;Drosophila
Q9VAF5;Drosophila
P81916;Drosophila
Q9VAF7;Drosophila
P81914;Drosophila
P07663;Drosophila
P81919;Drosophila
P81918;Drosophila
P07666;Drosophila
P07665;Drosophila
P07664;Drosophila
P39770;Drosophila
P13368;Drosophila
P13360;Drosophila
P18935;Drosophila
P49630;Drosophila
Q7JYX0;Drosophila
Q9VEV4;Drosophila
Q7K4N3;Drosophila
Q27889;Drosophila
P23792;Drosophila
Q07093;Drosophila
O76878;Drosophila
P82384;Drosophila
Q27268;Drosophila
Q9VUK5;Drosophila
Q9VC44;Drosophila
Q9VF30;Drosophila
P48451;Drosophila
Q23973;Drosophila
Q23970;Drosophila
Q23971;Drosophila
Q23976;Drosophila
Q23977;Drosophila
P48456;Drosophila
Q9VCW0;Drosophila
Q7Z020;Drosophila
Q23979;Drosophila
Q24451;Drosophila
Q9W088;Drosophila
P25028;Drosophila
Q9W130;Drosophila
Q9W3K5;Drosophila
P83967;Drosophila
P13709;Drosophila
Q24437;Drosophila
Q24434;Drosophila
Q24432;Drosophila
P07191;Drosophila
P07190;Drosophila
Q9VDN2;Drosophila
P07192;Drosophila
P13706;Drosophila
P18929;Drosophila
O76460;Drosophila
P29844;Drosophila
P29843;Drosophila
Q07892;Drosophila
Q9VH58;Drosophila
P51123;Drosophila
Q9V8W3;Drosophila
Q9VWH8;Drosophila
A1ZAX1;Drosophila
